"Team","Att","Cmp","Cmp %","Yds/Att","Pass Yds","TD","INT","Rate","1st","1st%","20+","40+","Lng","Sck","SckY","Year"
"49ers",383,226,59,7.8,2990,25,10,94.7,0,0,0,0,"0",8,67,1970
"Bears",422,210,49.8,5.8,2431,21,22,62.4,0,0,0,0,"0",33,258,1970
"Bengals",339,172,50.7,6.2,2097,12,11,68.4,0,0,0,0,"0",31,227,1970
"Bills",402,213,53,7.3,2916,13,26,60.3,0,0,0,0,"0",53,486,1970
"Broncos",403,183,45.4,5.9,2358,11,28,44.5,0,0,0,0,"0",44,333,1970
"Browns",392,190,48.5,7,2752,17,24,60.7,0,0,0,0,"0",16,170,1970
"Cardinals",390,178,45.6,6.9,2689,16,19,62.2,0,0,0,0,"0",26,216,1970
"Chargers",387,192,49.6,7.6,2936,24,19,75.3,0,0,0,0,"0",57,433,1970
"Chiefs",289,154,53.3,7.1,2038,13,16,67.8,0,0,0,0,"0",38,319,1970
"Colts",416,219,52.6,7.4,3087,23,22,73.3,0,0,0,0,"0",33,289,1970
"Cowboys",297,149,50.2,8.2,2445,18,16,75.9,0,0,0,0,"0",39,296,1970
"Dolphins",299,159,53.2,7.6,2284,15,19,68.5,0,0,0,0,"0",36,327,1970
"Eagles",410,218,53.2,6.5,2651,16,23,63,0,0,0,0,"0",23,200,1970
"Falcons",342,197,57.6,6.6,2262,18,21,69.6,0,0,0,0,"0",53,431,1970
"Giants",403,230,57.1,7.2,2892,19,12,82.9,0,0,0,0,"0",37,258,1970
"Jets",386,193,50,6.7,2592,14,22,60.1,0,0,0,0,"0",35,285,1970
"Lions",294,167,56.8,7.2,2121,19,12,84,0,0,0,0,"0",36,264,1970
"Oilers",470,238,50.6,5.9,2768,12,23,56.9,0,0,0,0,"0",33,262,1970
"Packers",351,177,50.4,6.3,2196,11,24,52.1,0,0,0,0,"0",43,382,1970
"Patriots",392,176,44.9,5,1975,7,28,36.7,0,0,0,0,"0",42,389,1970
"Raiders",418,210,50.2,7.2,3029,28,21,75.5,0,0,0,0,"0",19,164,1970
"Rams",426,218,51.2,6.2,2658,17,13,71.3,0,0,0,0,"0",23,150,1970
"Redskins",342,203,59.4,6.9,2357,23,10,90.5,0,0,0,0,"0",29,249,1970
"Saints",415,213,51.3,6.5,2690,11,22,58.6,0,0,0,0,"0",28,232,1970
"Steelers",384,150,39.1,6,2312,12,32,35.4,0,0,0,0,"0",28,275,1970
"Vikings",344,173,50.3,6.9,2378,12,15,66.3,0,0,0,0,"0",29,197,1970
"49ers",391,209,53.5,6.9,2688,18,24,65,0,0,0,0,"0",11,111,1971
"Bears",443,186,42,5.2,2294,12,28,41.3,0,0,0,0,"0",49,392,1971
"Bengals",365,214,58.6,6.6,2427,15,11,79.8,0,0,0,0,"0",40,303,1971
"Bills",401,202,50.4,6,2410,12,32,45.8,0,0,0,0,"0",49,421,1971
"Broncos",358,175,48.9,6.3,2243,8,27,44.9,0,0,0,0,"0",22,178,1971
"Browns",376,188,50,6.7,2521,14,27,54.2,0,0,0,0,"0",22,222,1971
"Cardinals",385,170,44.2,6.9,2656,14,26,51.6,0,0,0,0,"0",19,185,1971
"Chargers",450,244,54.2,7.3,3305,23,28,69,0,0,0,0,"0",19,171,1971
"Chiefs",337,183,54.3,8,2694,15,13,79.4,0,0,0,0,"0",35,347,1971
"Colts",344,176,51.2,6.3,2152,10,21,55,0,0,0,0,"0",27,230,1971
"Cowboys",361,206,57.1,8.4,3037,22,14,88.8,0,0,0,0,"0",32,251,1971
"Dolphins",293,156,53.2,7.7,2248,20,10,87,0,0,0,0,"0",25,265,1971
"Eagles",390,200,51.3,6.5,2552,13,20,61.8,0,0,0,0,"0",26,229,1971
